postedTime,content,likes,Username,User Bio,User Followers,User Following,,,,,,,
24 Feb 2023 5:04:46,"""🌊 We are LIVE on @opensea! You can now build up the value of your in-game assets and trade on the open marketplace! 🌊
 
 🔗 https://t.co/oD1f9gBeIx 
 
 #nfts #gaming #football https://t.co/edNnc2Bq0b""",0,gretovargrecia1,"""🏀Basketball fan
 🖌Artist""",5,10,,,,,,,
24 Feb 2023 5:04:40,"""⚫️🔴⚽️ A great performance from our Year 11 boys last night, securing back to back wins with a 3-1 victory in the West Wilts League against a strong Melksham Oak side. Well done boys 💪⚽️🔴⚫️ #KingdownSport #Football""",3,PekingSport,"""🔴⚫️ Welcome to the official Twitter for Kingdown PE & Sports Department 🔴⚫️ ⚽️⚾️🏉🏑🏸🏏🥍🎾🏀""",458,235,,,,,,,
24 Feb 2023 5:04:24,"""The moments, the history and the people... This is what is all about! So good to bring my son to such a special place 😍🏴󠁧󠁢󠁥󠁮󠁧󠁿📍
 
 #Football #Friends #ManUnited #Family #Moments #Memories https://t.co/BE2OB7qrxU""",0,FxJoejoe,"""""",192,557,,,,,,,
24 Feb 2023 5:04:21,"""😍🤯
 
 We're giving away this original 1990/91 @stokecity shirt when we hit 5,000 followers 🔥
 
 All you have to do to enter is:
 👉 Follow us
 ♻️ Retweet
 👍 Like
 👇 Tag 3 friends 
 
 Winner announced at 5k followers! 
 
 #MatchWinner #StokeCity #Stoke #Retro #Football https://t.co/Q0p8ManLDt""",0,ST4_Cal,"""@StokeCity @XS_11official""",252,259,,,,,,,
24 Feb 2023 5:03:35,"""The moments, the history and the people... This is what is all about! So good to bring my son to such a special place 😍🏴󠁧󠁢󠁥󠁮󠁧󠁿📍
 
 #Football #Friends #ManUnited #Family #Moments #Memories https://t.co/BE2OB7qrxU""",0,johnachar001,"""an engineer ||Azimio loyalist||@manUtd_Es fan|| kenyan""",645,1565,,,,,,,
24 Feb 2023 5:03:32,"""Top 15 highest P.R.O.P. in pro football - REC YDS/GM
 
 MIN 1000 YDS
 
 #ProStatsCanada #Montreal #Ottawa #Toronto #Hamilton #Winnipeg #Calgary #Edmonton #Regina #Vancouver #Football #Canada #Alouettes #RedBlacks #Argos #Ticats #Bombers #Stamps #Elks #Riders #Lions #NFL #CFL #Elite https://t.co/EotpblBFdk""",0,Jshoota2,"""AVILA UNIVERSITY - WR/TE - 80""",558,521,,,,,,,
24 Feb 2023 5:03:25,"""#Siga @nosofabrasil
 
 #DeportivoMaldonado #FortalezaEC #Libertadores #futebol #futbol #football #calcio #fußball #voetbal""",0,nosofabrasil,"""FUTEBOL EM CASA É NO SOFÁ 🛋 📺""",13,24,,,,,,,
24 Feb 2023 5:03:23,"""""Motivation is what gets you started. Habit is what keeps you going.""
 
 For more details visit our website - https://t.co/oJSmbqT60S or contact us at +91 91827 16220
 
 #swimming #gym #football #Cricket #LawnTennis #yoga #sports #bestsportsclub #fitness https://t.co/93Cck8F781""",0,StratisticsMRC,"""#MarketResearch #Consulting #Analytics #Trends #Insights #Forecast""",347,245,,,,,,,
24 Feb 2023 5:03:20,"""Super Bowl weekend 🏈🏈🏈
 •
 •
 #SuperBowlLVII #football #model #Rihanna #HalftimeShow #sports #SHEIN #Houston #texas #49s https://t.co/KndlVI3KvG""",0,slider_jordan,"""I’m an Actor🎬/ Model📸/ Gymnast 🤸‍♂️ 
 🎥 MTM Agency👇🏿👇🏿
 @john_casablancas
 (Proverbs 16:9) “man may choose his path, but the Lord guides his steps” 😇""",0,2,,,,,,,
24 Feb 2023 5:03:01,"""Rams releasing LB Bobby Wagner after one season
 
 (https://t.co/FU5B3GkN8D)
 #NFLNews #NFL #football""",0,pigskinupdate,"""Latest headlines from around the NFL.""",1,100,,,,,,,
24 Feb 2023 5:02:58,"""The moments, the history and the people... This is what is all about! So good to bring my son to such a special place 😍🏴󠁧󠁢󠁥󠁮󠁧󠁿📍
 
 #Football #Friends #ManUnited #Family #Moments #Memories https://t.co/BE2OB7qrxU""",0,neo2992,"""#MUFC Forever⚽🔴🔴""",293,249,,,,,,,
24 Feb 2023 5:02:16,"""@Crypto__Diva $FWC Token has been created for the link between #football and #cryptocurrency, join us to enter the world of #cryptofootball ⚽
 
 ✅ Ownership: Renounced 🔥
 ✅ Liquidity Locked 🔐 until 2030 🔥
 ✅ Tax: Buy 0.01% | Sell 0.01% 🔥
 
 #BNB #BSCGems #FWCTOKEN
 #FWCCOIN 
 @FWCOMMUNITY_Q2T https://t.co/hMKOqGzAGP""",0,FWC_Hodler,"""#CryptoInvestor #CryptoTrader""",4,98,,,,,,,
24 Feb 2023 5:02:12,"""The moments, the history and the people... This is what is all about! So good to bring my son to such a special place 😍🏴󠁧󠁢󠁥󠁮󠁧󠁿📍
 
 #Football #Friends #ManUnited #Family #Moments #Memories https://t.co/BE2OB7qrxU""",0,Deucalion_1,"""《Medical laboratory scientist》
 die hard @manutd fan
 anime, manga, manhua, movies, series lover 
 simple and skeptical ♡♤☆""",471,490,,,,,,,
24 Feb 2023 5:02:01,"""🧡🟠 The lads love a finishing drill 🚀
 
 #soccer #football #dmv #md #dc #maryland https://t.co/hGKvPI8GXz""",8,streetfootiemd,"""⚽️ Semi-pro football club •📍 Maryland, USA • 𝐸𝓈𝓉. 2022 • 🧡🟠 • Powered by @streetfootie""",94,79,,,,,,,
